title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
S2CR: A self-supervised self-consistency reasoning framework coupled to retrieval-augmented generation,"H Shao, F Wang, S Zhang, Z Xie",2026,0,"… S 2 CR, a self-supervised reasoning framework that presents the LLM consistency from … is to advance explicit process modeling during reasoning, enabling LLMs to self-check their …",QAB0egWrPgcJ,"H Shao, F Wang, S Zhang, Z Xie - Information Processing & Management, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457326000920,unknown,unknown
Boosting question answering over knowledge graph with reward integration and policy evaluation under weak supervision,"X Bi, H Nie, G Zhang, L Hu, Y Ma, X Zhao…",2023,78,"… the reasoning process by leveraging both terminal and instant rewards. The intermediate supervision for each single reasoning … entity along the correct reasoning path, an evaluation …",N36fkJ_QhWsJ,"X Bi, H Nie, G Zhang, L Hu, Y Ma, X Zhao… - Information Processing …, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457322003430,unknown,unknown
Guard your mind: Mind manipulation detection via multi-agent interaction and fine-grained stepwise reasoning,"Y Dai, Y Ding, K Zeng, N Li",2027,0,"… reasoning over tactics and intent yields both higher performance and actionable interpretability for proactive monitoring … labels, we employ a double verification mechanism. First, an …",xDnHUN9ZgmoJ,"Y Dai, Y Ding, K Zeng, N Li - Information Processing & Management, 2027 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457326003614,unknown,unknown
DelphiAgent: A trustworthy multi-agent verification framework for automated fact verification,"C Xiong, G Zheng, X Ma, C Li, J Zeng",2025,18,… many reasoning-intensive tasks including fact verification and … for trustworthy fact-checking that employs multiple LLMs to … -art LLM-enhanced supervised baselines without necessitating …,WM5O9tMBnKcJ,"C Xiong, G Zheng, X Ma, C Li, J Zeng - … Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325001827,unknown,unknown
Large language models and data quality for knowledge graphs,"S Marchesin, G Silvello, O Alonso",2025,11,"… recall, underlining the need for human oversight. A separate evaluation using the SNLI … validation with human-in-the-loop LLM assistance, and from improving commonsense reasoning …",ww94NJdm824J,"S Marchesin, G Silvello, O Alonso - Information Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325002225,unknown,unknown
Reasoning-guided structured planning and search in large language models,"Y Shen, W Shi",2026,0,… search plan generated across multiple validation criteria. The … checking that all referenced search sources belong to the predefined set T . The reward returns 1 only when all validation …,ed2Xyf-L4R4J,"Y Shen, W Shi - Information Processing & Management, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457326001238,unknown,unknown
Claim Verification with Adversarial Reasoning and Planning,"KC Lo, VL Shalin, RK Garrett…",2026,0,"… decomposition, strategic verification planning, and multi-hop knowledge retrieval to handle complex reasoning tasks. We evaluate CARP on two claim verification datasets–HOVER and …",W15O3B1qwcEJ,"KC Lo, VL Shalin, RK Garrett… - Proceedings of the …, 2026 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/ICWSM/article/view/42710,unknown,unknown
Knowledge graph validation by integrating LLMs and human-in-the-loop,"S Tsaneva, D Dessì, F Osborne, M Sabou",2025,65,"… from fully automated validation to hybrid methods that combine expert oversight with AI … verification process enhances precision by 12%, improving alignment with expert-level validation…",GlnP8PGBBzkJ,"S Tsaneva, D Dessì, F Osborne, M Sabou - … Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S030645732500086X,unknown,unknown
A dual-source knowledge distillation framework for hate speech detection based on cognitive distortion awareness,"C Li, M Zhang",2026,0,… distortion as an actionable reasoning cue and proposes a … introduce a rigorous dual-expert validation mechanism. Each … emotions provide a reliable supervision signal for enabling …,N2qiQ9WbVmcJ,"C Li, M Zhang - Information Processing & Management, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457326001706,unknown,unknown
Enhancing scientific table understanding with type-guided chain-of-thought,"Z Yin, S Wang",2025,26,"… , which comprise 55,000 reasoning QA samples and 5264 … reasoning accuracy in Chinese (81.9 %) and a 7.5 % increase in English (83.1 %), surpassing existing models. Our method …",YlTf7ivBye0J,"Z Yin, S Wang - Information Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325001001,unknown,unknown
