title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Large language models and data quality for knowledge graphs,"S Marchesin, G Silvello, O Alonso",2025.0,11,"… validate, and reason with structured knowledge. From enhancing ontology development workflows to scaling KG validation … from improving commonsense reasoning to generating more …",ww94NJdm824J,"S Marchesin, G Silvello, O Alonso - Information Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325002225,unknown,unknown
A Reinforcement Learning-based Knowledge Graph Reasoning Verification Method,"X Hu, X Zhang, T Zhang, R Yang…",2024.0,0,"… Zhang, and JX Huang, “ARL: An adaptive reinforcement learning framework for complex question answering over knowledge base,” Information Processing & Management, vol. 59, …",DIVp7rLEucUJ,"X Hu, X Zhang, T Zhang, R Yang… - … Conference on New …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10776074/,unknown,unknown
Graph-driven knowledge stream method for knowledge management in vertical domain large language models: Case study on pit engineering application,"Z Xia, B Zhong, S Zhang, T Zhao",2026.0,0,"… built LLM-graph interaction pipeline and knowledge graph (KG)-… -hop reasoning, and interpretability when graph structure is … To cater with the multistep validations under knowledge …",FSDOXQ_KJCMJ,"Z Xia, B Zhong, S Zhang, T Zhao - Information Processing & Management, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457326002062,unknown,unknown
Knowledge graph validation by integrating LLMs and human-in-the-loop,"S Tsaneva, D Dessì, F Osborne, M Sabou",2025.0,65,"… KG validation. In this work, we explore the role of LLMs in human-centric KG validation workflows, … Our findings show that integrating LLMs into the CS-KG verification process enhances …",GlnP8PGBBzkJ,"S Tsaneva, D Dessì, F Osborne, M Sabou - … Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S030645732500086X,unknown,unknown
Knowledge-Enhanced Graph Reasoning for Packaging Design with Engineering Constraint Validation,"W Li, H Zhu",2026.0,0,"… constrained decoding techniques, knowledge graph-constrained reasoning, and their … ‑based masks or finite automata to ensure validity of structured outputs; however, these methods …",KX6Fn9iwCuEJ,"W Li, H Zhu - Expert Systems with Applications, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0957417426013023,unknown,unknown
KGER-PP: Knowledge Graph-Enhanced Reasoning for Process Planning based on Large Language Models,"X Feng, P Wen",,0,"… As a result, reasoning validity, robustness, and interpretability are achieved by architectural design and training objectives, rather than by configuration choices or post hoc verification. …",QpF3gk3Ose4J,"X Feng, P Wen - Available at SSRN 6923111 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6923111,unknown,unknown
Intelligent audit decision support for enterprise related-party transactions based on knowledge graph and graph neural network,"R Hao, Y Sun",2026.0,0,"… Knowledge graph technologies have attracted growing … , knowledge graphs enable forms of relational reasoning that … For knowledge graph construction, temporal edge validity is …",aJGO1d0gBEkJ,"R Hao, Y Sun - Scientific Reports, 2026 - nature.com",[],https://www.nature.com/articles/s41598-026-52652-y,unknown,unknown
Estimating the plausibility of commonsense statements by novelly fusing large language model and graph neural network,"HT Yu, C Lei, Y Ge, Y Duan, X Liu, S Lynden…",2025.0,5,"… from the knowledge graph and encode diverse structural information into a multidimensional embedding space, which helps to improve the effectiveness of commonsense reasoning. …",IzDWLDXyxKEJ,"HT Yu, C Lei, Y Ge, Y Duan, X Liu, S Lynden… - Information Processing …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325000871,unknown,unknown
Cognitive Knowledge-Graph-Driven Enterprise Change Reasoning for Proactive Operational Stability,"C Viswanathan, RGS Alampur…",2026.0,0,"… The findings validate the presence of cognitive reasoning in ML, which improves prediction of change impact and assists in making intelligent and data-driven decisions in the enterprise…",5DjzTG4EDvMJ,"C Viswanathan, RGS Alampur… - 2026 IEEE International …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11497631/,unknown,unknown
An entity-graph based reasoning method for fact verification,"C Chen, F Cai, X Hu, J Zheng, Y Ling…",2021.0,34,"… Fact verification aims to retrieve relevant evidence from a … In addition, the interpretability of the reasoning process has not been well studied in the field of fact verification. To address …",xzr_NvAPKS4J,"C Chen, F Cai, X Hu, J Zheng, Y Ling… - … Processing & Management, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457320309614,unknown,unknown
